,Date,Price(USD),Currency
439,2014-07-12,2.8039951679739943,bitcoin
440,2014-07-13,-6.176672348638704,bitcoin
441,2014-07-14,-9.257296312856624,bitcoin
442,2014-07-15,0.7474734935210563,bitcoin
443,2014-07-16,-4.805000000000177,bitcoin
444,2014-07-17,8.7475000000004,bitcoin
445,2014-07-18,4.1238000000001875,bitcoin
446,2014-07-19,-0.8425000000002001,bitcoin
447,2014-07-20,-5.662500000000136,bitcoin
448,2014-07-21,-0.6049999999997908,bitcoin
449,2014-07-22,-0.9025000000002592,bitcoin
450,2014-07-23,-1.0637999999997874,bitcoin
451,2014-07-24,-18.13370000000009,bitcoin
452,2014-07-25,0.2875000000001364,bitcoin
453,2014-07-26,-6.321300000000065,bitcoin
454,2014-07-27,-3.3962000000001353,bitcoin
455,2014-07-28,-5.100000000000136,bitcoin
456,2014-07-29,-3.564999999999827,bitcoin
457,2014-07-30,-20.922500000000127,bitcoin
458,2014-07-31,22.39080574319007,bitcoin
459,2014-08-01,10.683421652177003,bitcoin
460,2014-08-02,-5.634828234225779,bitcoin
461,2014-08-03,-2.657505084441709,bitcoin
462,2014-08-04,0.795491834697259,bitcoin
463,2014-08-05,-3.9500591464205854,bitcoin
464,2014-08-06,0.906373235023807,bitcoin
465,2014-08-07,3.8781590188054906,bitcoin
466,2014-08-08,3.7041112057137298,bitcoin
467,2014-08-09,-2.79941424094352,bitcoin
468,2014-08-10,0.39262657059998674,bitcoin
469,2014-08-11,-15.094182554175632,bitcoin
470,2014-08-12,-6.003951779179147,bitcoin
471,2014-08-13,-23.734848220820936,bitcoin
472,2014-08-14,-39.95870000000008,bitcoin
473,2014-08-15,-11.424301717170351,bitcoin
474,2014-08-16,28.761801717170613,bitcoin
475,2014-08-17,-26.2650000000001,bitcoin
476,2014-08-18,-34.89499999999987,bitcoin
477,2014-08-19,24.268699999999797,bitcoin
478,2014-08-20,30.031300000000158,bitcoin
479,2014-08-21,1.4186999999999443,bitcoin
480,2014-08-22,0.22130000000004202,bitcoin
481,2014-08-23,-19.257499999999936,bitcoin
482,2014-08-24,11.544999999999902,bitcoin
483,2014-08-25,-7.7275000000000205,bitcoin
484,2014-08-26,10.252499999999884,bitcoin
485,2014-08-27,-0.19249999999988177,bitcoin
486,2014-08-28,-3.5312999999999306,bitcoin
487,2014-08-29,1.1812999999999079,bitcoin
488,2014-08-30,-6.566299999999899,bitcoin
489,2014-08-31,-21.503700000000208,bitcoin
490,2014-09-01,-4.206299999999658,bitcoin
491,2014-09-02,-1.1262000000002104,bitcoin
492,2014-09-03,0.03250000000008413,bitcoin
493,2014-09-04,14.821200000000033,bitcoin
494,2014-09-05,-9.305000000000007,bitcoin
495,2014-09-06,2.1162999999998533,bitcoin
496,2014-09-07,-1.7562999999999533,bitcoin
497,2014-09-08,-9.477499999999907,bitcoin
498,2014-09-09,0.6287999999998988,bitcoin
499,2014-09-10,5.360000000000014,bitcoin
500,2014-09-11,-0.7362999999999147,bitcoin
501,2014-09-12,-2.690000000000225,bitcoin
502,2014-09-13,2.3138000000001284,bitcoin
503,2014-09-14,-1.2062999999999988,bitcoin
504,2014-09-15,-1.7637000000000285,bitcoin
505,2014-09-16,-10.438800000000015,bitcoin
506,2014-09-17,-7.968699999999899,bitcoin
507,2014-09-18,-31.058800000000076,bitcoin
508,2014-09-19,-30.302500000000123,bitcoin
509,2014-09-20,15.240000000000123,bitcoin
510,2014-09-21,-11.882499999999993,bitcoin
511,2014-09-22,1.6913000000000693,bitcoin
512,2014-09-23,35.43999999999983,bitcoin
513,2014-09-24,-12.831299999999885,bitcoin
514,2014-09-25,-12.942499999999995,bitcoin
515,2014-09-26,-5.097500000000025,bitcoin
516,2014-09-27,-4.872500000000116,bitcoin
517,2014-09-28,-22.018699999999967,bitcoin
518,2014-09-29,-2.8999999999999204,bitcoin
519,2014-09-30,14.262499999999932,bitcoin
520,2014-10-01,-6.456299999999999,bitcoin
521,2014-10-02,-9.053699999999935,bitcoin
522,2014-10-03,-15.651300000000106,bitcoin
523,2014-10-04,-28.308699999999874,bitcoin
524,2014-10-05,-2.7713000000001102,bitcoin
525,2014-10-06,3.6200000000001182,bitcoin
526,2014-10-07,2.9937999999999647,bitcoin
527,2014-10-08,21.666300000000092,bitcoin
528,2014-10-09,5.004899999999907,bitcoin
529,2014-10-10,-0.8400000000000887,bitcoin
530,2014-10-11,1.9600000000000932,bitcoin
531,2014-10-12,14.652500000000089,bitcoin
532,2014-10-13,12.871299999999849,bitcoin
533,2014-10-14,11.250000000000057,bitcoin
